date,icon,location,detail,url,download_image
December 25th,img/icon/location.svg,SUMMIT One Vanderbilt,"45 E 42nd St, New York, NY",https://maps.app.goo.gl/s4ZfNxcESRoUSKxU9,img/Schedule-1225.png
December 25th,img/icon/pizza.svg,Uncle Paul's Pizza,"70 Vanderbilt Ave, New York, NY",https://maps.app.goo.gl/vXeZS2tqsB5Y8Zwr7,img/Schedule-1225.png
December 25th,img/icon/location.svg,Bryant Park,"42nd Street and 6th Ave, New York, NY",https://maps.app.goo.gl/JSo92a3gHNRftLPZA,img/Schedule-1225.png
December 25th,img/icon/cafe.svg,Angelina Paris New-York,"1050 6th Ave, New York, NY",https://maps.app.goo.gl/UTBoNrwme6WmBHrh8,img/Schedule-1225.png
December 25th,img/icon/tree.svg,Rockefeller Center,"45 Rockefeller Plaza, New York, NY",https://maps.app.goo.gl/DGxWQ8XCpykbby6N6,img/Schedule-1225.png
December 25th,img/icon/location.svg,5th Ave,"5th Ave, New York, NY",https://maps.app.goo.gl/1ie9e8G45j3MZMS28,img/Schedule-1225.png
December 25th,img/icon/pasta.svg,Piccola Cucina Uptown,"106 E 60th St, New York, NY",https://maps.app.goo.gl/SvRBrTjXgT5rj3RFA,img/Schedule-1225.png
December 26th,img/icon/cafe.svg,WatchHouse 5th Ave.,"660 5th Ave, New York, NY",https://maps.app.goo.gl/tGkmhcoipYVmLghn7,img/Schedule-1226.png
December 26th,img/icon/location.svg,The Museum of Modern Art,"11 W 53rd St, New York, NY",https://maps.app.goo.gl/p6ggcZqR1Ei1NHsk7,img/Schedule-1226.png
December 26th,img/icon/storefront.svg,M&M'S New York,"1600 Broadway, New York, NY",https://maps.app.goo.gl/7DK3gtSD33pWFZY38,img/Schedule-1226.png
December 26th,img/icon/dessert.svg,Krispy Kreme,"1601 Broadway, New York, NY",https://share.google/Zm2v9V2h6CyiFkGtZ,img/Schedule-1226.png
December 26th,img/icon/asian.svg,Halmae Noodle,"413 Broad Ave, Palisades Park, NJ",https://maps.app.goo.gl/cHUyfF4xHw1LFPDq8,img/Schedule-1226.png
December 26th,img/icon/food.svg,Woori Wangmandoo,"466 Broad Ave, Palisades Park, NJ",https://maps.app.goo.gl/AVYBbSTApyRB7eRt9,img/Schedule-1226.png
December 27th,img/icon/pizza.svg,L’industrie Pizzeria West Village,"104 Christopher St, New York, NY",https://maps.app.goo.gl/iYcGw4JZ6T8ZCpTU8,img/Schedule-1227.png
December 27th,img/icon/location.svg,Dumbo,"39-21 Washington St, Brooklyn, NY",https://maps.app.goo.gl/xLbg3mgKtzSjcGEi6,img/Schedule-1227.png
December 27th,img/icon/cafe.svg,La Colombe,"338 Wythe Ave, Brooklyn, NY",https://maps.app.goo.gl/GvvyA5oohYkgQfkM6,img/Schedule-1227.png
December 27th,img/icon/food.svg,Peter Luger Steak House,"178 Broadway, Brooklyn, NY",https://maps.app.goo.gl/aRmFSnYPzHZYBY7S6,img/Schedule-1227.png
December 28th,img/icon/asian.svg,Yin Ji Chang Fen,"91 Bayard St, New York, NY",https://maps.app.goo.gl/nXKfqZUjiAUogSQd8,img/Schedule-1228.png
